ID,head_ps,femur_ps,abdomen_ps
708,0.194965,0.121458,0.192726
629,0.316997,0.316997,0.316997
667,0.149091,0.149091,0.149091
588,0.101903,0.101903,0.101903
589,0.134139,0.134139,0.134139
591,0.126958,0.1112,0.166022
685,0.151103,0.160666,0.185384
678,0.139701,0.191398,0.191398
624,0.157164,0.157164,0.157164
612,0.249069,0.249069,0.249069
679,0.16888,0.114303,0.114303
449,0.206217,0.193632,0.206217
414,0.179548,0.179548,0.179548
448,0.195906,0.195906,0.195906
446,0.172117,0.172117,0.172117
463,0.201588,0.201588,0.201588
455,0.254439,0.254439,0.254439
454,0.232465,0.232465,0.232465
465,0.394844,0.394844,0.394844
444,0.227796,0.227796,0.227796
443,0.244883,0.244883,0.244883
416,0.316997,0.316997,0.316997
442,0.230478,0.230478,0.230478
460,0.179548,0.179548,0.179548
456,0.256567,0.256567,0.256567
450,0.206006,0.154576,0.160301
307,0.203858,0.203858,0.203858
331,0.151103,0.143886,0.143886
274,0.100585,0.100585,0.129092
287,0.194965,0.113866,0.158409
286,0.119744,0.102775,0.119744
281,0.159498,0.125731,0.179295
256,0.087386,0.087386,0.087386
314,0.217936,0.259482,0.259482
333,0.230478,0.230478,0.230478
270,0.113794,0.113794,0.113794
284,0.147919,0.126958,0.16888
285,0.155811,0.143886,0.179295
265,0.254439,0.254439,0.254439
319,0.077896,0.077896,0.077896
558,0.202952,0.161455,0.161455
478,0.316997,0.316997,0.316997
572,0.136138,0.091093,0.136138
580,0.192726,0.121458,0.216482
539,0.254439,0.254439,0.254439
506,0.150211,0.150211,0.150211
555,0.194965,0.130133,0.181039
552,0.143886,0.138611,0.166022
563,0.139701,0.166022,0.139701
562,0.139701,0.1112,0.159498
468,0.254439,0.254439,0.254439
466,0.206217,0.194895,0.140823
492,0.157282,0.157282,0.157282
579,0.139701,0.104107,0.134471
546,0.167554,0.167554,0.167554
583,0.151103,0.104776,0.146696
159,0.249375,0.184638,0.184638
195,0.119678,0.07228,0.124825
194,0.139701,0.126958,0.132349
211,0.109347,0.113594,0.113594
219,0.124825,0.093838,0.124825
217,0.119744,0.119744,0.119744
175,0.126958,0.104776,0.126958
253,0.268229,0.268229,0.268229
170,0.098325,0.139701,0.139701
179,0.180117,0.180117,0.180117
176,0.191398,0.138611,0.179616
149,0.119744,0.098104,0.114301
92,0.17639,0.256567,0.17639
35,0.085985,0.080611,0.080611
120,0.249069,0.249069,0.249069
121,0.123244,0.087618,0.143548
119,0.201588,0.201588,0.201588
72,0.114301,0.096166,0.096166
110,0.286782,0.286782,0.286782
100,0.234334,0.234334,0.234334
54,0.136713,0.093838,0.140318
97,0.190267,0.190267,0.190267
24,0.256567,0.256567,0.256567
71,0.297411,0.297411,0.297411
125,0.185279,0.143918,0.185279
147,0.119905,0.090097,0.100108
140,0.141479,0.141479,0.141479
14,0.254439,0.254439,0.254439
362,0.157282,0.157282,0.157282
398,0.193433,0.193433,0.193433
353,0.244883,0.244883,0.244883
339,0.134701,0.134701,0.129088
399,0.316997,0.316997,0.316997
390,0.316997,0.316997,0.316997
400,0.254439,0.254439,0.254439
370,0.234439,0.234439,0.234439
340,0.20636,0.126561,0.15946
361,0.096439,0.096439,0.096439
395,0.251339,0.251339,0.251339
335,0.206492,0.155586,0.206492
356,0.132349,0.132349,0.132349
360,0.24494,0.24494,0.24494
405,0.158124,0.20636,0.20636
389,0.316997,0.316997,0.316997
388,0.247398,0.247398,0.247398
